phi   :        H2                O2               N2
0.300   :    0.008726445      0.208167447      0.783106109
0.400   :    0.011601513      0.207563682      0.780834805
0.500   :    0.014459952      0.206963410      0.778576638
0.600   :    0.017301905      0.206366600      0.776331495
0.700   :    0.020127515      0.205773222      0.774099263
0.800   :    0.022936923      0.205183246      0.771879831
0.900   :    0.025730266      0.204596644      0.769673090
1.000   :    0.028507684      0.204013386      0.767478930
1.100   :    0.031269310      0.203433445      0.765297245
1.200   :    0.034015281      0.202856791      0.763127928
1.300   :    0.036745728      0.202283397      0.760970875
1.400   :    0.039460783      0.201713236      0.758825982
1.500   :    0.042160575      0.201146279      0.756693146
1.600   :    0.044845234      0.200582501      0.754572265
1.700   :    0.047514885      0.200021874      0.752463241
1.800   :    0.050169654      0.199464373      0.750365973
1.900   :    0.052809666      0.198909970      0.748280364
2.000   :    0.055435043      0.198358641      0.746206316
